title,company,location,salary,skills
Systems Analyst,CF Industries Holdings,Tehran,$57K-$105K,Business systems analysis Requirements gathering Process improvement
Interior Designer,Liberty Mutual Insurance Group,Victoria,$62K-$127K,Commercial interior design Workplace ergonomics Building codes and regulations knowledge Sustainable design principles AutoCAD and Revit proficiency
Customer Service Manager,Penske Automotive Group,Dakar,$60K-$120K,Quality assurance Quality control Process improvement Audit procedures Compliance standards Root cause analysis
Office Manager,ServiceNow,Port of Spain,$64K-$87K,Administrative leadership Office management Staff supervision Budgeting and financial management Process improvement Communication skills
Systems Administrator,Progressive,Maputo,$63K-$102K,"Database management systems (e.g., MySQL, Oracle, SQL Server) Data security Database tuning and optimization Backup and recovery"
Substance Abuse Counselor,Nucor,Yaounde,$55K-$83K,Addiction recovery support Motivational interviewing Relapse prevention strategies
Investment Analyst,Hershey,Doha,$61K-$112K,Risk assessment Data analysis Financial modeling Risk management tools Regulatory compliance knowledge
Finance Manager,Prudential Financial,Caracas,$56K-$81K,Treasury management Cash flow analysis Risk management Financial forecasting Banking relations
Tax Consultant,Auto-Owners Insurance,Valletta,$60K-$111K,International tax law knowledge Transfer pricing Cross-border tax planning Tax treaties and agreements Foreign tax credits International tax compliance Transfer pricing documentation Multinational tax strategies Client relationship management Communication skills Tax software proficiency
Network Technician,Dollar General,Dakar,$57K-$121K,Network security Cybersecurity Intrusion detection Security analysis Firewall management
Mechanical Designer,Visa,Male,$57K-$82K,HVAC system design Load calculations Energy efficiency AutoCAD or similar software Mechanical engineering principles Collaboration with architects and engineers Regulatory compliance Problem-solving Attention to detail Communication skills
Sales Manager,Sanmina,Stockholm,$58K-$109K,Sales leadership Team management Sales strategy and planning
Event Planner,Informa,San Marino,$61K-$91K,Wedding planning Venue selection Catering and menu planning Floral and decor design Wedding etiquette
Data Analyst,Sherwin-Williams,Ottawa,$64K-$107K,"Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making"
Network Engineer,Lear,Georgetown,$65K-$91K,Wireless network design and architecture Wi-Fi standards and protocols RF (Radio Frequency) planning and optimization Wireless security protocols Troubleshooting wireless network issues
Marketing Manager,Walt Disney,Dushanbe,$63K-$126K,"Digital marketing strategies SEO and SEM Social media marketing Email marketing campaigns Content marketing Web analytics (e.g., Google Analytics) Marketing automation tools (e.g., HubSpot, Marketo)"
Financial Controller,Genuine Parts,Berlin,$60K-$103K,"Accounting Financial reporting Financial audits Tax compliance Accounting software (e.g., SAP, Oracle) GAAP (Generally Accepted Accounting Principles)"
Procurement Specialist,UFP Industries,Seoul,$62K-$114K,Sourcing strategies Supplier evaluation Market research Cost analysis Contract negotiation
Project Manager,BAE Systems,Nassau,$64K-$95K,"Agile methodologies Scrum or Kanban Team collaboration Agile tools (e.g., Jira)"
Purchasing Agent,Tata Communications,Road Town,$55K-$126K,Inventory control Demand forecasting Supply chain management Data analysis Warehouse management
UX/UI Designer,Stryker,Papeete,$60K-$81K,"UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design"
Java Developer,Power Grid Corporation of India,Phnom Penh,$65K-$123K,"Java programming Java frameworks (e.g., Spring) Object-oriented design Code debugging Software development Problem-solving skills"
Systems Administrator,PPL,Kinshasa,$56K-$124K,Technical troubleshooting Hardware and software support Customer service Problem-solving Communication
UX Researcher,CommScope Holding,Tehran,$58K-$130K,User experience strategy User journey mapping Design thinking
Veterinarian,Standard Chartered,Canberra,$56K-$81K,Equine veterinary medicine Horse anatomy and physiology Lameness evaluation Equine surgery Dentistry for horses Emergency equine care Equine reproductive health Compassion and empathy Client communication Problem-solving Attention to detail
UX/UI Designer,TIAA,LomÃ©,$59K-$130K,"UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design"
Event Manager,WEC Energy Group,Bangkok,$59K-$114K,Event planning Conference logistics Budget management Vendor coordination Marketing and promotion Client relations
Content Writer,Markel,Zagreb,$62K-$124K,Copywriting Content creation SEO Marketing strategies Creativity
Network Administrator,"Workday, Inc.",Ulaanbaatar,$58K-$95K,Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail
Substance Abuse Counselor,Morrison Supermarkets,Havana,$57K-$90K,Family counseling Marriage and family therapy Conflict resolution skills
Finance Manager,United Parcel Service,Windhoek,$65K-$101K,Treasury management Cash flow analysis Risk management Financial forecasting Banking relations
Marketing Analyst,Lufthansa Group,Porto-Novo,$61K-$102K,Digital marketing strategies Analytics and reporting SEO and SEM Social media marketing Email marketing Data interpretation Marketing automation tools A/B testing Communication skills Problem-solving Attention to detail Marketing knowledge
Mechanical Engineer,Cisco Systems,Nairobi,$60K-$110K,Manufacturing processes knowledge CAD/CAM software proficiency Lean manufacturing principles Quality control and assurance Six Sigma certification
Marketing Coordinator,Altice USA,Canberra,$65K-$87K,Event planning and management Budgeting and financial management Vendor and sponsor relations Promotion and publicity Event logistics and coordination skills
Software Tester,Titan Company,Andorra la Vella,$60K-$90K,"Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing"
UX/UI Designer,Devon Energy,Vaduz,$58K-$97K,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes
Graphic Designer,Godrej Consumer Products Limited,Gaza,$63K-$87K,"Print design software (e.g., Adobe InDesign, Illustrator) Layout and composition Print production processes Color theory and management Attention to detail Print industry knowledge"
UX/UI Designer,Caterpillar,Montevideo,$58K-$95K,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes
Procurement Specialist,Intertek Group,Bangkok,$65K-$115K,Procurement strategies Supplier management Negotiation Cost analysis Supply chain management
Network Security Specialist,SAP SE,Yaounde,$55K-$101K,"Cybersecurity Security assessments Intrusion detection Security tools (e.g., SIEM) Incident response Vulnerability scanning"
Graphic Designer,Maruti Suzuki India,Vientiane,$61K-$129K,"Graphic design tools (e.g., Adobe Creative Suite) Web design principles User interface (UI) design Visual communication Typography Creativity and artistic skills"
Electrical Engineer,Playtech,Wellington,$59K-$98K,Electrical engineering Power system analysis Renewable energy systems Control systems Safety regulations
HR Coordinator,UPL Limited,Cairo,$56K-$95K,Employee benefits administration Benefits compliance HRIS Benefits communication
Chemical Engineer,Newell Brands,Seoul,$64K-$96K,"Quality control processes Quality assurance standards (e.g., ISO) Statistical analysis Inspection techniques Documenting quality issues Root cause analysis Communication with production teams Problem-solving Attention to detail Technical knowledge"
Interior Designer,Automatic Data Processing,Belmopan,$55K-$93K,Commercial interior design Workplace ergonomics Building codes and regulations knowledge Sustainable design principles AutoCAD and Revit proficiency
Legal Advisor,Olin,Nouakchott,$57K-$93K,In-house counsel Legal advisory Employment law Intellectual property Regulatory compliance Dispute resolution Contract review Client counseling
Structural Engineer,Coterra Energy,Honiara,$61K-$124K,Engineering design CAD software proficiency Problem-solving Technical knowledge Communication skills
Psychologist,PulteGroup,Conakry,$62K-$103K,Research methodology Data analysis Psychological studies Writing research reports Critical thinking
Legal Secretary,Macy's,Ulaanbaatar,$63K-$114K,Legal research Document drafting Communication skills Legal software proficiency Attention to detail
Process Engineer,Pfizer,Nassau,$64K-$87K,Chemical engineering Process design Chemical reactions Safety protocols Laboratory techniques Problem-solving skills
Front-End Engineer,Southwestern Energy,Jerusalem,$63K-$107K,"JavaScript programming Frontend development Frontend frameworks (e.g., React, Angular) DOM manipulation AJAX Debugging and troubleshooting"
Network Administrator,Weir Group,Santiago,$58K-$100K,Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail
Executive Assistant,Tata Consultancy Services (TCS),Sofia,$56K-$100K,Office administration and management Budgeting and expense tracking Team coordination and supervision Facility management Vendor and supplier relations
Software Tester,Sanmina,Sanaa,$57K-$121K,"Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing"
Procurement Manager,Keurig Dr Pepper Inc.,Cockburn Town,$65K-$129K,Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen
Software Engineer,SpartanNash,Yamoussoukro,$61K-$104K,"Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization"
Marketing Director,American Electric Power,N'Djamena,$60K-$118K,Brand strategy Brand development Creative direction Brand management Market research
QA Analyst,Origin Energy,Vaduz,$57K-$84K,Performance testing Load testing Stress testing Test scenarios Performance monitoring Benchmarking Performance analysis
Sales Manager,Kellogg,Praia,$63K-$111K,Sales strategy development Territory management Sales team leadership
Java Developer,Stanley Black & Decker,City of Baghdad,$60K-$88K,"Web application development Java web frameworks (e.g., Servlets, JSP) Frontend integration User authentication Security protocols Code documentation"
Project Manager,Ferguson plc,Dili,$58K-$123K,Construction management Budgeting Contract negotiation Safety regulations
Procurement Coordinator,Massachusetts Mutual Life Insurance,Madrid,$64K-$117K,Procurement Supplier management Negotiation Supply chain management Inventory control Vendor relations
Litigation Attorney,Derwent London,San Salvador,$61K-$102K,Family law Divorce proceedings Child custody Mediation Legal counseling Court representation
Substance Abuse Counselor,TD Synnex,Tokyo,$55K-$100K,Addiction counseling techniques Substance abuse treatment Counseling ethics
UI Developer,Deutsche Wohnen SE,San Salvador,$59K-$121K,"Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility"
Database Developer,Hewlett Packard Enterprise,Antananarivo,$59K-$115K,SQL (Structured Query Language) Database design Query optimization Data modeling Database maintenance Problem-solving skills
Social Media Manager,Omnicom Group,Naypyidaw,$59K-$80K,"Social media analytics tools (e.g., Google Analytics, Facebook Insights) Data analysis and reporting Social media ROI measurement Competitive analysis Trend identification"
UX Researcher,Gree Electric Appliances,Bishkek,$57K-$95K,User research methods Usability testing Data analysis and interpretation
IT Support Specialist,Aurizon Holdings,Doha,$65K-$81K,Technical troubleshooting Customer service and communication Ticketing system usage Basic IT knowledge Problem-solving and critical-thinking skills
Software Engineer,Autoliv,Kuala Lumpur,$56K-$120K,"Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)"
Marketing Director,CVS Health,Jakarta,$65K-$94K,Brand strategy Brand development Creative direction Brand management Market research
Network Engineer,Paccar,Dublin,$63K-$126K,"Network management Troubleshooting Network security IT certifications (e.g., CCNA)"
Registered Nurse,International Business Machines,Kigali,$65K-$116K,Nursing leadership Charge nurse responsibilities Team coordination
Financial Analyst,Berkeley Group Holdings,Pretoria,$59K-$122K,Financial analysis Investment evaluation Portfolio management Data analysis
Software Engineer,SSE plc,Tallinn,$64K-$91K,"Automation and scripting (e.g., Python, Bash) Continuous Integration/Continuous Deployment (CI/CD) Containerization (e.g., Docker, Kubernetes) Infrastructure as Code (e.g., Terraform, Ansible) Cloud platforms (e.g., AWS, Azure, GCP) Monitoring and troubleshooting skills"
Technical Writer,Union Pacific,Brussels,$65K-$115K,Writing skills Content creation SEO knowledge Research skills Grammar and proofreading
Event Coordinator,Andersons,Copenhagen,$62K-$130K,Event planning and coordination Budget management Vendor negotiation Venue selection and management Timeline and logistics planning Marketing and promotion Risk management Client communication Creativity Problem-solving Attention to detail
Software Engineer,Adobe,Funafuti,$64K-$112K,"Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)"
Sales Associate,Beacon Roofing Supply,Roseau,$57K-$129K,Customer service Sales techniques Product knowledge Cash handling Communication skills
UX/UI Designer,Henry Schein,Marigot,$60K-$126K,"User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows"
Event Coordinator,Ecolab,Warsaw,$55K-$121K,Corporate event planning Corporate branding and messaging Speaker and entertainment booking Audiovisual production Team coordination Crisis management Budgeting and financial management Client communication Creativity Problem-solving Attention to detail
Office Manager,Opendoor Technologies,Copenhagen,$65K-$99K,Facilities management Property maintenance Space planning Budget management Health and safety compliance Vendor management
Marketing Manager,NMDC Limited,Charlotte Amalie,$64K-$81K,Product positioning and messaging Market research and analysis Product launch planning Competitive analysis Marketing collateral creation Pricing strategies Cross-functional collaboration
Family Nurse Practitioner,Skechers U.S.A.,Zagreb,$56K-$114K,Pediatric healthcare Pediatric assessment Pediatric treatment Patient education Pediatric pharmacology
HR Coordinator,CDW,Phnom Penh,$62K-$118K,Employee benefits administration Benefits compliance HRIS Benefits communication
Sales Associate,MRF Limited,Funafuti,$57K-$97K,Customer service Sales techniques Product knowledge Cash handling Communication skills
Dental Hygienist,Fuchs Petrolub SE,AsunciÃ³n,$59K-$96K,Periodontal therapy procedures Patient care and communication Dental instrumentation Periodontal disease management Oral health education
UX/UI Designer,Fluor,Luanda,$56K-$97K,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes
SEO Analyst,Burlington Stores,Vientiane,$56K-$92K,"Technical SEO Website audits SEO tools (e.g., Screaming Frog, Ahrefs) Schema markup Site speed optimization XML sitemaps Canonicalization"
Project Manager,Raymond James Financial,Kuwait City,$64K-$90K,"Agile methodologies Scrum or Kanban Team collaboration Agile tools (e.g., Jira)"
Pediatrician,Adelaide Brighton,Guatemala City,$60K-$117K,Pediatrics Pediatric care Diagnosis and treatment Pediatric medical procedures Patient care Communication skills
Brand Manager,Shree Cement,Willemstad,$62K-$116K,Product branding and marketing Product lifecycle management Cross-functional team collaboration Product launch planning Market segmentation and targeting
Electrical Designer,Albertsons,Praia,$56K-$108K,Lighting design Architectural lighting Lighting software proficiency Creative lighting concepts Technical knowledge
Marketing Coordinator,Caesars Entertainment,Dakar,$57K-$98K,Digital marketing strategy development Social media advertising Email marketing Google Analytics and SEO Content management systems (CMS) proficiency
Social Media Manager,Emerson Electric,Yaren District (de facto),$55K-$105K,"Social media analytics tools (e.g., Google Analytics, Facebook Insights) Data analysis and reporting Social media ROI measurement Competitive analysis Trend identification"
QA Analyst,Best Buy,Beirut,$55K-$106K,"Software quality assurance Test planning Test case design Test execution Defect tracking Test automation (e.g., Selenium)"
Office Manager,Evonik Industries AG,Khartoum,$56K-$111K,Facilities management Property maintenance Space planning Budget management Health and safety compliance Vendor management
UX/UI Designer,Sprint Corporation,Funafuti,$65K-$129K,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes
Research Analyst,Target,Saint John's,$58K-$123K,"Market research methodologies Data collection and analysis Consumer behavior analysis Competitor analysis Survey design and analysis Statistical analysis software (e.g., SPSS, SAS) Data visualization Trend analysis Report writing Communication skills Attention to detail"
Network Engineer,Suncorp Group,Rome,$55K-$109K,"Network management Troubleshooting Network security IT certifications (e.g., CCNA)"
Dental Hygienist,Steel Dynamics,Jakarta,$64K-$99K,Periodontal therapy procedures Patient care and communication Dental instrumentation Periodontal disease management Oral health education
Office Manager,Glenmark Pharmaceuticals,Ngerulmud,$55K-$125K,Facilities management Property maintenance Space planning Budget management Health and safety compliance Vendor management
Network Administrator,JetBlue Airways,Harare,$65K-$102K,"System administration Server maintenance Active Directory Backup and recovery Cloud computing (e.g., AWS, Azure) Troubleshooting IT security best practices Collaboration Problem-solving Attention to detail Communication skills Technical knowledge"
Executive Assistant,Grasim Industries,Dakar,$61K-$104K,Office administration and management Budgeting and expense tracking Team coordination and supervision Facility management Vendor and supplier relations
